plan_id,insurer,insurance_type,plan_name,monthly_premium,annual_premium,sum_insured,deductible,co_pay_percent,network_hospitals,claim_settlement_ratio,waiting_period_days,pre_existing_coverage_years,maternity_cover,dental_cover,vision_cover,mental_health_cover,covid_cover,no_claim_bonus_percent,free_health_checkup,ambulance_cover,daycare_procedures,room_rent_limit,icu_limit,restore_benefit,critical_illness_riders,accidental_death_rider,waiver_of_premium,age_min,age_max,target_segment,risk_profile,income_bracket,recommended_for,star_rating,premium_tier,cashless_claim,app_rating,grievance_ratio,solvency_ratio,incurred_claim_ratio,nps_score,avg_claim_processing_days,digital_policy,telemedicine,wellness_rewards,annual_health_checkup_value,launch_year,region_availability,policy_term_years,renewal_loading_percent,portability_allowed,free_look_period_days
H001,Star Health,Health Insurance,Star Comprehensive Plan,1299,14999,500000,5000,10,9800,94.44,30,4,Yes,No,No,Yes,Yes,20,Yes,5000,586,Single,Double,Yes,Yes,Yes,Yes,18,65,Young Professionals,Low,Middle,Singles & Couples,4.2,Premium,Yes,4.1,0.45,1.87,63.2,72,3,Yes,Yes,Yes,2000,2010,Pan India,1,10,Yes,15
H002,HDFC ERGO,Health Insurance,My:health Suraksha,899,9999,300000,3000,0,11000,98.0,30,3,No,No,No,No,Yes,25,No,3000,405,Single,1.5x Single,Yes,No,No,Yes,18,75,Families,Low,Lower Middle,Young Families,4.5,Budget,Yes,4.3,0.32,1.92,75.1,68,2,Yes,Yes,No,0,2015,Pan India,1,8,Yes,15
H003,Niva Bupa,Health Insurance,ReAssure 2.0,1599,17999,1000000,0,0,8600,91.6,30,3,Yes,Yes,Yes,Yes,Yes,50,Yes,10000,700,No Limit,No Limit,Yes,Yes,Yes,Yes,18,65,HNI Individuals,Low,Upper Middle,Professionals,4.4,Super Premium,Yes,4.2,0.41,1.78,68.4,71,2,Yes,Yes,Yes,5000,2018,Pan India,1,12,Yes,15
H004,Care Health,Health Insurance,Care Supreme,749,8499,500000,2000,10,16500,95.2,30,4,No,No,No,No,Yes,30,Yes,4000,470,10% of SI,25% of SI,Yes,Yes,No,Yes,18,65,Budget Seekers,Low,Lower,Families,4.0,Budget,Yes,3.9,0.52,1.81,62.3,75,3,Yes,No,No,0,2012,Pan India,1,9,Yes,15
H005,ICICI Lombard,Health Insurance,Complete Health Insurance,1099,12499,750000,5000,0,6500,97.0,30,3,Yes,No,No,Yes,Yes,20,Yes,7500,570,Single,Double,Yes,Yes,Yes,Yes,18,70,Urban Professionals,Low,Middle,Salaried Class,4.3,Standard,Yes,4.4,0.38,1.89,71.2,65,2,Yes,Yes,Yes,3000,2009,Pan India,1,10,Yes,15
H006,Bajaj Allianz,Health Insurance,Health Guard,649,7499,400000,3000,10,6000,92.8,30,4,No,No,No,No,Yes,25,No,3000,380,5000/day,10000/day,No,Yes,No,Yes,18,70,Mass Market,Medium,Lower,Large Families,3.8,Economy,Yes,3.7,0.61,1.74,58.9,82,5,Yes,No,No,0,2006,Pan India,1,12,Yes,15
H007,Aditya Birla,Health Insurance,Activ Assure Diamond,1449,16499,1000000,0,0,8000,97.4,30,2,Yes,No,Yes,Yes,Yes,50,Yes,8000,650,No Limit,No Limit,Yes,Yes,Yes,Yes,18,65,Active Lifestyle,Low,Upper Middle,Fitness Enthusiasts,4.6,Premium,Yes,4.5,0.29,1.94,74.8,60,1,Yes,Yes,Yes,4000,2016,Pan India,1,8,Yes,15
H008,Max Bupa,Health Insurance,Health Companion,999,11499,500000,3000,0,4500,94.1,30,4,Yes,No,No,No,Yes,25,Yes,5000,500,Single,Double,No,No,No,Yes,18,65,Mid-Market,Low,Middle,General,4.1,Standard,Yes,4.0,0.44,1.82,66.7,72,3,Yes,Yes,No,2000,2011,Pan India,1,10,Yes,15
H009,Star Health,Health Insurance,Family Health Optima,1899,21599,1000000,5000,10,9800,94.44,30,3,Yes,No,No,Yes,Yes,20,Yes,5000,586,All,All,Yes,Yes,No,Yes,18,65,Large Families,Low,Middle,Family Floater,4.3,Standard,Yes,4.1,0.45,1.87,63.2,72,3,Yes,Yes,Yes,2000,2008,Pan India,1,10,Yes,15
H010,HDFC ERGO,Health Insurance,Optima Secure,2199,24999,2000000,0,0,11000,98.0,30,2,Yes,Yes,Yes,Yes,Yes,75,Yes,15000,1000,No Limit,No Limit,Yes,Yes,Yes,Yes,18,65,HNI Families,Low,High,Affluent Families,4.7,Ultra Premium,Yes,4.3,0.32,1.92,75.1,68,1,Yes,Yes,Yes,10000,2020,Pan India,1,8,Yes,15
H011,SBI Health,Health Insurance,Arogya Supreme,699,7999,500000,2000,0,6000,91.0,30,4,No,No,No,No,Yes,20,No,3000,400,5000/day,10000/day,No,No,No,Yes,18,65,Budget,Low,Lower,Rural/Semi-Urban,3.7,Economy,Yes,3.5,0.68,1.71,55.4,90,7,Yes,No,No,0,2014,Pan India,1,15,Yes,15
H012,Tata AIG,Health Insurance,Medicare Plan,1199,13499,750000,4000,0,7200,93.5,30,4,Yes,No,No,Yes,Yes,25,Yes,6000,540,8000/day,15000/day,Yes,Yes,No,Yes,18,70,Premium Segment,Low,Upper Middle,Professionals,4.2,Standard,Yes,4.1,0.42,1.85,68.9,70,3,Yes,Yes,No,3000,2013,Pan India,1,10,Yes,15
T001,LIC,Term Life,Tech Term,799,8999,10000000,0,0,0,98.62,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,Young Earners,Low,Middle,Salaried,4.8,Standard,Yes,4.2,0.12,1.68,98.62,30,1,Yes,No,No,0,2019,Pan India,30,0,Yes,30
T002,HDFC Life,Term Life,Click 2 Protect Super,999,10999,20000000,0,0,0,99.39,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,Middle Class,Low,Middle,Breadwinners,4.9,Standard,Yes,4.5,0.08,1.72,99.39,25,1,Yes,No,No,0,2020,Pan India,40,0,Yes,30
T003,ICICI Pru,Term Life,iProtect Smart,1099,11999,30000000,0,0,0,97.84,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,Professionals,Low,Upper Middle,HNI,4.7,Standard,Yes,4.6,0.09,1.75,97.84,20,1,Yes,No,No,0,2018,Pan India,40,0,Yes,30
T004,Max Life,Term Life,Smart Term Plan,849,9499,10000000,0,0,0,99.51,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,Young Families,Low,Middle,Dependents,4.8,Standard,Yes,4.4,0.07,1.69,99.51,22,1,Yes,No,No,0,2021,Pan India,35,0,Yes,30
T005,Bajaj Allianz,Term Life,eTouch Term Plan,749,8499,7500000,0,0,0,98.02,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,70,Budget,Low,Lower Middle,Mass Market,4.5,Budget,Yes,4.0,0.14,1.64,98.02,35,2,Yes,No,No,0,2017,Pan India,30,0,Yes,30
T006,SBI Life,Term Life,eShield Next,699,7999,5000000,0,0,0,97.05,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,Rural,Low,Lower,First-Time Buyers,4.3,Economy,Yes,3.9,0.18,1.61,97.05,40,3,Yes,No,No,0,2016,Pan India,30,0,Yes,30
T007,Tata AIA,Term Life,Sampoorna Raksha,1299,13999,50000000,0,0,0,99.06,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,HNI,Low,High,Affluent,4.9,Premium,Yes,4.7,0.06,1.78,99.06,18,1,Yes,No,No,0,2020,Pan India,40,0,Yes,30
T008,Kotak Life,Term Life,e-Term Plan,899,9999,10000000,0,0,0,98.44,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,Middle,Low,Middle,Standard,4.6,Standard,Yes,4.3,0.11,1.71,98.44,28,1,Yes,No,No,0,2019,Pan India,35,0,Yes,30
C001,ICICI Lombard,Car/Motor,Comprehensive Car Insurance,2499,2499,500000,1000,0,3500,97.0,0,0,No,No,No,No,No,20,No,0,0,NA,NA,No,No,Yes,No,18,70,Car Owners,Medium,Middle,Hatchback/Sedan,4.3,Standard,Yes,4.4,0.38,1.89,71.2,7,1,Yes,No,No,0,2009,Pan India,1,0,Yes,15
C002,Bajaj Allianz,Car/Motor,Motor Guard,1999,1999,400000,1500,10,2800,92.8,0,0,No,No,No,No,No,15,No,0,0,NA,NA,No,No,Yes,No,18,70,Budget Car Owners,Medium,Lower Middle,Economy Cars,4.0,Budget,Yes,3.8,0.55,1.74,58.9,10,2,Yes,No,No,0,2006,Pan India,1,0,Yes,15
C003,HDFC ERGO,Car/Motor,Comprehensive 360,2799,2799,750000,1000,0,4200,98.0,0,0,No,No,No,No,No,25,No,0,0,NA,NA,No,No,Yes,No,18,70,Premium Car Owners,Low,Upper Middle,SUV/Premium,4.5,Premium,Yes,4.3,0.32,1.92,75.1,5,1,Yes,No,No,0,2015,Pan India,1,0,Yes,15
C004,New India Assurance,Car/Motor,Vehicle Shield,1699,1699,350000,2000,10,2200,88.0,0,0,No,No,No,No,No,10,No,0,0,NA,NA,No,No,Yes,No,18,75,General,High,Lower,Older Vehicles,3.5,Economy,Yes,3.2,0.72,1.62,52.1,15,5,Yes,No,No,0,2002,Pan India,1,0,Yes,15
C005,Tata AIG,Car/Motor,AutoSafe Complete,2999,2999,1000000,500,0,5100,93.5,0,0,No,No,No,No,No,30,No,0,0,NA,NA,No,No,Yes,No,18,70,Luxury Car Owners,Low,High,Luxury/Sports,4.6,Super Premium,Yes,4.5,0.35,1.88,71.8,4,1,Yes,No,No,0,2013,Pan India,1,0,Yes,15
C006,Reliance General,Car/Motor,Private Car Policy,1599,1599,300000,2000,10,2000,85.4,0,0,No,No,No,No,No,10,No,0,0,NA,NA,No,No,Yes,No,18,70,Small Car,High,Lower,Nano/Micro Cars,3.3,Economy,Yes,3.1,0.82,1.58,48.7,20,7,Yes,No,No,0,2007,Pan India,1,0,Yes,15
C007,SBI General,Car/Motor,SBI Car Insurance,1849,1849,450000,1500,5,3100,91.0,0,0,No,No,No,No,No,20,No,0,0,NA,NA,No,No,Yes,No,18,70,Standard Buyers,Medium,Middle,Sedan/Hatchback,3.9,Standard,Yes,3.7,0.58,1.76,61.3,12,3,Yes,No,No,0,2014,Pan India,1,0,Yes,15
C008,National Insurance,Car/Motor,National Motor,1449,1449,250000,2500,15,1800,84.2,0,0,No,No,No,No,No,5,No,0,0,NA,NA,No,No,No,No,18,75,Old Vehicles,High,Lower,Rural Market,3.2,Economy,No,2.9,0.89,1.55,46.2,25,10,No,No,No,0,2000,Pan India,1,0,No,15
V001,Bajaj Allianz,Travel Insurance,Travel Companion,499,499,500000,0,0,0,92.8,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,International Travelers,Low,Middle,Short Trips,4.2,Standard,Yes,4.0,0.42,1.74,58.9,3,1,Yes,No,No,0,2015,Pan India,1,0,No,15
V002,TATA AIG,Travel Insurance,Travel Guard,799,799,1500000,0,0,0,93.5,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Frequent Flyers,Low,Upper Middle,Business Travelers,4.5,Premium,Yes,4.4,0.35,1.85,71.8,2,1,Yes,No,No,0,2012,Pan India,1,0,No,15
V003,HDFC ERGO,Travel Insurance,Travel Suraksha,399,399,300000,0,0,0,98.0,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Budget Travelers,Low,Lower Middle,Domestic,4.3,Budget,Yes,4.2,0.32,1.92,75.1,2,1,Yes,No,No,0,2016,Pan India,1,0,No,15
V004,ICICI Lombard,Travel Insurance,iTravel Overseas,1299,1299,5000000,0,0,0,97.0,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Luxury Travelers,Low,High,International Long,4.6,Super Premium,Yes,4.5,0.38,1.89,71.2,1,1,Yes,No,No,0,2014,Pan India,1,0,No,15
V005,Niva Bupa,Travel Insurance,Global Travel Care,999,999,2500000,0,0,0,91.6,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Regular Travelers,Low,Middle,Schengen/US,4.4,Standard,Yes,4.3,0.41,1.78,68.4,2,1,Yes,No,No,0,2019,Pan India,1,0,No,15
V006,Star Health,Travel Insurance,Overseas Travel,599,599,750000,0,0,0,94.44,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Mid-Market,Low,Middle,All Trips,4.1,Standard,Yes,4.0,0.45,1.87,63.2,2,1,Yes,No,No,0,2017,Pan India,1,0,No,15
H013,Care Health,Health Insurance,Care Freedom,1799,19999,750000,0,0,14000,95.2,30,4,Yes,Yes,No,Yes,Yes,25,Yes,6000,600,10000/day,20000/day,Yes,Yes,Yes,Yes,18,65,Senior Buyers,Low,Middle,40+ Age Group,4.2,Premium,Yes,4.1,0.48,1.83,65.1,68,2,Yes,Yes,No,3000,2019,Pan India,1,10,Yes,15
H014,Niva Bupa,Health Insurance,Health Premia,2499,27999,2000000,0,0,8600,91.6,30,2,Yes,Yes,Yes,Yes,Yes,100,Yes,20000,1500,No Limit,No Limit,Yes,Yes,Yes,Yes,18,65,Ultra HNI,Low,High,Affluent Professionals,4.8,Ultra Premium,Yes,4.4,0.35,1.82,72.3,55,1,Yes,Yes,Yes,10000,2021,Pan India,1,8,Yes,15
H015,ICICI Lombard,Health Insurance,Golden Shield Senior,1899,21499,500000,3000,10,6500,97.0,60,0,No,No,No,No,Yes,20,Yes,5000,400,8000/day,15000/day,Yes,Yes,No,Yes,55,80,Senior Citizens,Low,Middle,Elderly Care,4.4,Standard,Yes,4.3,0.38,1.89,71.2,65,2,Yes,Yes,No,2500,2020,Pan India,1,15,Yes,15
T009,PNB MetLife,Term Life,Mera Term Plan Plus,649,6999,7500000,0,0,0,97.18,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,60,Entry Level,Low,Lower Middle,First Earners,4.4,Budget,Yes,4.1,0.16,1.65,97.18,32,2,Yes,No,No,0,2018,Pan India,30,0,Yes,30
T010,Aegon Life,Term Life,iTerm Plan,599,6499,5000000,0,0,0,96.57,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,Digital Natives,Low,Lower Middle,Online Buyers,4.5,Budget,Yes,4.2,0.13,1.63,96.57,28,1,Yes,No,No,0,2017,Pan India,30,0,Yes,30
C009,Bharti AXA,Car/Motor,Drive Assure,2099,2099,500000,1000,5,3600,90.3,0,0,No,No,No,No,No,20,No,0,0,NA,NA,No,No,Yes,No,18,70,Mainstream,Medium,Middle,Mid-size Cars,4.1,Standard,Yes,4.0,0.48,1.79,64.5,8,2,Yes,No,No,0,2016,Pan India,1,0,Yes,15
C010,Kotak General,Car/Motor,Kotak Secure Drive,2249,2249,600000,1000,0,3900,94.2,0,0,No,No,No,No,No,25,No,0,0,NA,NA,No,No,Yes,No,18,70,Premium,Low,Upper Middle,Premium Sedans,4.4,Standard,Yes,4.3,0.37,1.86,69.8,6,1,Yes,No,No,0,2018,Pan India,1,0,Yes,15
H016,HDFC ERGO,Health Insurance,Energy Active,1349,14999,500000,0,0,11000,98.0,30,3,Yes,No,No,Yes,Yes,30,Yes,8000,700,8000/day,15000/day,Yes,Yes,No,Yes,18,65,Wellness-Focused,Low,Middle,Health-Conscious,4.6,Standard,Yes,4.3,0.32,1.92,75.1,65,2,Yes,Yes,Yes,3500,2022,Pan India,1,8,Yes,15
V007,Royal Sundaram,Travel Insurance,Trip Secure,449,449,400000,0,0,0,91.2,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Occasional Travelers,Low,Lower Middle,Domestic,4.0,Budget,Yes,3.8,0.49,1.72,60.1,3,1,Yes,No,No,0,2016,Pan India,1,0,No,15
H017,SBI Health,Health Insurance,Super Health,1099,12499,500000,2500,0,6000,91.0,30,4,Yes,No,No,No,Yes,25,No,4000,500,7000/day,12000/day,No,Yes,No,Yes,18,65,Government Employees,Low,Middle,PSU Workers,3.9,Standard,Yes,3.6,0.62,1.73,57.8,80,4,Yes,No,No,0,2016,Pan India,1,12,Yes,15
T011,Future Generali,Term Life,Flexi Online Term,729,7999,10000000,0,0,0,95.74,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,Young Adults,Low,Lower Middle,Self-Employed,4.3,Standard,Yes,4.0,0.19,1.66,95.74,35,2,Yes,No,No,0,2018,Pan India,30,0,Yes,30
H018,Aditya Birla,Health Insurance,Activ Health Platinum,1999,22999,1500000,0,0,8000,97.4,30,2,Yes,Yes,Yes,Yes,Yes,75,Yes,12000,1200,No Limit,No Limit,Yes,Yes,Yes,Yes,18,65,Active Premium,Low,High,Sports-Active,4.7,Super Premium,Yes,4.5,0.29,1.94,74.8,58,1,Yes,Yes,Yes,6000,2020,Pan India,1,8,Yes,15
C011,HDFC ERGO,Car/Motor,Motor On (OD Only),1199,1199,500000,1000,0,4200,98.0,0,0,No,No,No,No,No,30,No,0,0,NA,NA,No,No,No,No,18,70,Own Damage,Medium,Middle,New Car Owners,4.4,Standard,Yes,4.3,0.32,1.92,75.1,5,1,Yes,No,No,0,2021,Pan India,1,0,Yes,15
V008,Niva Bupa,Travel Insurance,International Platinum,1599,1599,7500000,0,0,0,91.6,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Premium Globe-Trotters,Low,High,Business/Luxury,4.5,Super Premium,Yes,4.4,0.41,1.78,68.4,1,1,Yes,No,No,0,2020,Pan India,1,0,No,15
H019,Care Health,Health Insurance,Care Heart,2299,25999,500000,0,0,14000,95.2,30,0,No,No,No,Yes,Yes,20,Yes,5000,500,No Limit,No Limit,Yes,Yes,No,Yes,18,65,Heart Patients,Low,Upper Middle,Cardiac Care,4.5,Premium,Yes,4.2,0.44,1.86,67.3,60,2,Yes,Yes,No,4000,2020,Pan India,1,10,Yes,15
H020,Max Bupa,Health Insurance,Super Top-Up,649,6999,2000000,500000,0,4500,94.1,30,3,No,No,No,No,Yes,10,No,3000,500,No Limit,No Limit,No,No,No,Yes,18,65,Top-Up Seekers,Low,Middle,Existing Coverage Holders,4.0,Budget,Yes,4.0,0.44,1.82,66.7,70,3,Yes,No,No,0,2017,Pan India,1,8,Yes,15
